year,gear,tmp,region,len,frac.age,age,lentype
1995,1,1,1,214,3.889611957,4,FL
1995,1,1,1,240,4.383012705,4,SL
1995,1,1,1,271,5.031008234,5,SL
1995,1,1,1,278,5.186358303,5,SL
1995,1,1,1,240,4.378417703,4,TL
1995,1,1,1,289,5.449740809,5,TL
1995,1,1,1,261,4.799585555,5,TL
1995,1,1,1,264,4.876020317,5,FL
1995,1,1,1,261,4.81966959,5,FL
1995,1,1,1,256,4.706668767,5,SL
1995,1,1,1,270,5.013799338,5,FL
1995,1,1,1,311,6.010310755,6,FL
1995,1,1,1,325,6.37509356,6,SL
1995,1,1,1,266,4.921542779,5,SL
1995,1,1,1,346,7.016801181,7,TL
1995,1,1,1,320,6.231536173,6,SL
1995,1,1,1,264,4.865964398,5,FL
1995,1,1,1,275,5.121114624,5,SL
1995,1,1,1,241,4.401326889,4,SL
1995,1,1,1,246,4.498892364,4,TL
1995,1,1,1,272,5.05865685,5,TL
1995,1,1,1,250,4.585421981,5,FL
1995,1,1,1,257,4.72278264,5,SL
1995,1,1,1,262,4.83775483,5,FL
1995,1,1,1,279,5.220403357,5,TL
1995,1,1,1,283,5.298583409,5,TL
1995,1,1,1,281,5.248688479,5,TL
1995,1,1,1,233,4.235032479,4,FL
1995,1,1,1,319,6.206943828,6,SL
1995,1,1,1,277,5.173112477,5,TL
1995,1,1,1,297,5.642162297,6,TL
1995,1,1,1,293,5.542941329,6,FL
1995,1,1,1,237,4.323769547,4,TL
1995,1,1,1,281,5.259604184,5,TL
1995,1,1,1,288,5.415416748,5,SL
1995,1,1,1,266,4.917387582,5,FL
1995,1,1,1,286,5.374786473,5,SL
1995,1,1,1,267,4.946431313,5,SL
1995,1,1,1,233,4.238268699,4,TL
1995,1,1,1,305,5.835196924,6,SL
1995,1,1,1,279,5.213788027,5,SL
1995,1,1,1,299,5.678196435,6,FL
1995,1,1,1,241,4.400228493,4,TL
1995,1,1,1,261,4.814957548,5,FL
1995,1,1,1,275,5.10948493,5,TL
1995,1,1,1,299,5.679472273,6,TL
1995,1,1,1,291,5.491059982,5,FL
1995,1,1,1,177,3.251235212,3,SL
1995,1,1,1,306,5.862250822,6,FL
1995,1,1,1,255,4.67970695,5,FL
1995,1,1,2,332,6.572900386,7,SL
1995,1,1,2,291,5.494910524,5,FL
1995,1,1,2,297,5.631429399,6,TL
1995,1,1,2,336,6.707884016,7,FL
1995,1,1,2,351,7.171808911,7,FL
1995,1,1,2,354,7.284786732,7,SL
1995,1,1,2,331,6.543696155,7,FL
1995,1,1,2,360,7.488463841,7,TL
1995,1,1,2,368,7.758554597,8,SL
1995,1,1,2,329,6.496906984,6,FL
1995,1,1,2,319,6.221981738,6,TL
1995,1,1,2,361,7.514112537,8,FL
1995,1,1,2,355,7.316668887,7,FL
1995,1,1,2,329,6.510515262,7,FL
1995,1,1,2,342,6.880155264,7,TL
1995,1,1,2,323,6.32938123,6,SL
1995,1,1,2,340,6.814322742,7,TL
1995,1,1,2,327,6.42843808,6,SL
1995,1,1,2,350,7.132670658,7,FL
1995,1,1,2,353,7.241606757,7,SL
1995,1,1,2,343,6.922162851,7,SL
1995,1,1,2,345,6.995694726,7,TL
1995,1,1,2,299,5.690138029,6,TL
1995,1,1,2,346,6.99883088,7,FL
1995,1,1,2,306,5.874422936,6,TL
1995,1,1,2,373,7.953729604,8,FL
1995,1,1,2,335,6.678145129,7,FL
1995,1,1,2,340,6.818596211,7,TL
1995,1,1,2,319,6.225713968,6,SL
1995,1,1,2,367,7.70622633,8,FL
1995,1,1,2,355,7.296513856,7,SL
1995,1,1,2,375,8.023744712,8,FL
1995,1,1,2,335,6.674050909,7,SL
1995,1,1,2,270,5.017242039,5,FL
1995,1,1,2,322,6.2969318,6,TL
1995,1,1,2,270,5.00554292,5,SL
1995,1,1,2,344,6.950242608,7,TL
1995,1,1,2,315,6.095862977,6,TL
1995,1,1,2,322,6.29694119,6,FL
1995,1,1,2,291,5.485861205,5,FL
1995,1,1,2,352,7.20943556,7,SL
1995,1,1,2,358,7.421827193,7,SL
1995,1,1,2,244,4.447107818,4,FL
1995,1,1,2,336,6.699453519,7,TL
1995,1,1,2,263,4.851202772,5,SL
1995,1,1,2,377,8.082585813,8,TL
1995,1,1,2,333,6.612118842,7,TL
1995,1,1,2,368,7.744037435,8,TL
1995,1,1,2,349,7.101489579,7,SL
1995,1,1,2,281,5.261608843,5,TL
1995,2,1,1,412,9.611943623,10,FL
1995,2,1,1,358,7.400659665,7,TL
1995,2,1,1,378,8.119543517,8,FL
1995,2,1,1,416,9.805628802,10,SL
1995,2,1,1,330,6.538917235,7,TL
1995,2,1,1,374,7.987348752,8,FL
1995,2,1,1,388,8.535890402,9,FL
1995,2,1,1,354,7.262268242,7,TL
1995,2,1,1,381,8.228545672,8,SL
1995,2,1,1,349,7.118618756,7,TL
1995,2,1,1,375,8.011198277,8,TL
1995,2,1,1,396,8.850308041,9,SL
1995,2,1,1,416,9.813636602,10,FL
1995,2,1,1,358,7.402483781,7,FL
1995,2,1,1,437,11.07096033,11,FL
1995,2,1,1,335,6.659794067,7,SL
1995,2,1,1,373,7.956183291,8,SL
1995,2,1,1,426,10.36058229,10,SL
1995,2,1,1,344,6.960899147,7,TL
1995,2,1,1,434,10.82736076,11,FL
1995,2,1,1,328,6.477220589,6,SL
1995,2,1,1,299,5.700870861,6,TL
1995,2,1,1,355,7.287484972,7,TL
1995,2,1,1,418,9.950178975,10,SL
1995,2,1,1,389,8.570370676,9,FL
1995,2,1,1,387,8.492785215,8,FL
1995,2,1,1,390,8.609534851,9,SL
1995,2,1,1,329,6.50697415,7,FL
1995,2,1,1,362,7.548761762,8,FL
1995,2,1,1,399,9.022351219,9,FL
1995,2,1,1,394,8.781003757,9,SL
1995,2,1,1,331,6.563858564,7,FL
1995,2,1,1,390,8.617286897,9,TL
1995,2,1,1,400,9.041558785,9,FL
1995,2,1,1,388,8.529108375,9,SL
1995,2,1,1,370,7.840010806,8,SL
1995,2,1,1,354,7.256240035,7,FL
1995,2,1,1,384,8.36108407,8,FL
1995,2,1,1,399,9.023972917,9,FL
1995,2,1,1,415,9.799454223,10,FL
1995,2,1,1,351,7.162025891,7,TL
1995,2,1,1,351,7.170742472,7,TL
1995,2,1,1,395,8.808149449,9,SL
1995,2,1,1,385,8.398356026,8,FL
1995,2,1,1,381,8.253982005,8,TL
1995,2,1,1,382,8.267918936,8,SL
1995,2,1,1,394,8.803622254,9,SL
1995,2,1,1,382,8.267909777,8,FL
1995,2,1,1,349,7.104112344,7,FL
1995,2,1,1,338,6.768672536,7,SL
1995,2,1,2,459,12.65974678,13,TL
1995,2,1,2,422,10.16779077,10,FL
1995,2,1,2,424,10.2641106,10,FL
1995,2,1,2,400,9.06366767,9,SL
1995,2,1,2,453,12.18716178,12,SL
1995,2,1,2,453,12.22434991,12,TL
1995,2,1,2,395,8.841534401,9,SL
1995,2,1,2,444,11.49631402,11,SL
1995,2,1,2,454,12.28052009,12,SL
1995,2,1,2,400,9.027385347,9,SL
1995,2,1,2,403,9.182119125,9,TL
1995,2,1,2,369,7.778688202,8,FL
1995,2,1,2,416,9.810266352,10,FL
1995,2,1,2,413,9.66999008,10,SL
1995,2,1,2,437,11.05978663,11,TL
1995,2,1,2,374,7.976322395,8,SL
1995,2,1,2,476,14.3498402,14,TL
1995,2,1,2,408,9.438710058,9,SL
1995,2,1,2,455,12.32044987,12,TL
1995,2,1,2,435,10.9317914,11,FL
1995,2,1,2,402,9.151406666,9,SL
1995,2,1,2,393,8.752725031,9,TL
1995,2,1,2,468,13.54560187,14,SL
1995,2,1,2,398,8.940519165,9,SL
1995,2,1,2,423,10.17702632,10,SL
1995,2,1,2,412,9.617617172,10,TL
1995,2,1,2,425,10.3328528,10,TL
1995,2,1,2,417,9.858352815,10,SL
1995,2,1,2,343,6.920774609,7,TL
1995,2,1,2,463,13.03364877,13,FL
1995,2,1,2,428,10.51371322,11,FL
1995,2,1,2,477,14.47938549,14,TL
1995,2,1,2,447,11.69608388,12,SL
1995,2,1,2,459,12.71920026,13,SL
1995,2,1,2,433,10.81587192,11,SL
1995,2,1,2,419,9.989811847,10,FL
1995,2,1,2,402,9.119381395,9,FL
1995,2,1,2,374,7.977645252,8,SL
1995,2,1,2,430,10.61231112,11,TL
1995,2,1,2,429,10.53651572,11,TL
1995,2,1,2,376,8.043248491,8,FL
1995,2,1,2,390,8.621676641,9,SL
1995,2,1,2,470,13.77351146,14,TL
1995,2,1,2,405,9.266033969,9,FL
1995,2,1,2,409,9.459422045,9,SL
1995,2,1,2,405,9.271904369,9,FL
1995,2,1,2,453,12.17294223,12,TL
1995,2,1,2,368,7.737354503,8,FL
1995,2,1,2,378,8.122037702,8,SL
1995,2,1,2,447,11.69699124,12,SL
1995,1,2,1,247,4.509033717,5,FL
1995,1,2,1,242,4.410226508,4,SL
1995,1,2,1,306,5.86866424,6,SL
1995,1,2,1,283,5.313398645,5,FL
1995,1,2,1,279,5.206604967,5,TL
1995,1,2,1,252,4.625996304,5,TL
1995,1,2,1,335,6.661272421,7,SL
1995,1,2,1,315,6.114244309,6,TL
1995,1,2,1,285,5.359257433,5,TL
1995,1,2,1,309,5.939119466,6,FL
1995,1,2,1,284,5.318800719,5,TL
1995,1,2,1,287,5.389584412,5,SL
1995,1,2,1,273,5.07831302,5,SL
1995,1,2,1,244,4.452615281,4,FL
1995,1,2,1,265,4.889527063,5,FL
1995,1,2,1,259,4.766377024,5,FL
1995,1,2,1,293,5.547271648,6,FL
1995,1,2,1,301,5.737325585,6,TL
1995,1,2,1,239,4.366202194,4,SL
1995,1,2,1,302,5.772325063,6,SL
1995,1,2,1,245,4.474582977,4,SL
1995,1,2,1,255,4.687722438,5,TL
1995,1,2,1,248,4.538841059,5,SL
1995,1,2,1,281,5.255271965,5,TL
1995,1,2,1,252,4.616292947,5,SL
1995,1,2,1,276,5.132712685,5,SL
1995,1,2,1,235,4.284534101,4,TL
1995,1,2,1,259,4.76804616,5,TL
1995,1,2,1,342,6.879188642,7,TL
1995,1,2,1,311,5.996149659,6,TL
1995,1,2,1,283,5.300510675,5,SL
1995,1,2,1,288,5.422284393,5,FL
1995,1,2,1,267,4.950515963,5,SL
1995,1,2,1,313,6.054710707,6,TL
1995,1,2,1,293,5.553028556,6,SL
1995,1,2,1,237,4.308002755,4,TL
1995,1,2,1,280,5.240147905,5,TL
1995,1,2,1,278,5.188773876,5,TL
1995,1,2,1,249,4.567075731,5,TL
1995,1,2,1,285,5.341318887,5,FL
1995,1,2,1,291,5.483332438,5,SL
1995,1,2,1,293,5.546414368,6,TL
1995,1,2,1,311,5.999541051,6,TL
1995,1,2,1,286,5.363254499,5,FL
1995,1,2,1,253,4.644500183,5,TL
1995,1,2,1,244,4.455199163,4,SL
1995,1,2,1,284,5.330395362,5,SL
1995,1,2,1,242,4.411114433,4,FL
1995,1,2,1,244,4.447680366,4,SL
1995,1,2,1,259,4.764776701,5,TL
1995,1,2,2,324,6.350001808,6,FL
1995,1,2,2,346,6.999450078,7,SL
1995,1,2,2,294,5.5565505,6,SL
1995,1,2,2,300,5.726718732,6,TL
1995,1,2,2,347,7.045898825,7,SL
1995,1,2,2,317,6.157390142,6,TL
1995,1,2,2,352,7.190931541,7,TL
1995,1,2,2,383,8.319686875,8,FL
1995,1,2,2,355,7.320573401,7,FL
1995,1,2,2,367,7.721541663,8,FL
1995,1,2,2,336,6.712251016,7,TL
1995,1,2,2,331,6.562034569,7,SL
1995,1,2,2,322,6.300694236,6,SL
1995,1,2,2,382,8.300156809,8,FL
1995,1,2,2,324,6.348972623,6,FL
1995,1,2,2,327,6.447783278,6,SL
1995,1,2,2,299,5.683632012,6,SL
1995,1,2,2,314,6.072778468,6,FL
1995,1,2,2,288,5.422432937,5,TL
1995,1,2,2,334,6.651532838,7,FL
1995,1,2,2,328,6.456133262,6,TL
