year,gear,tmp,region,len,lentype,num
1995,1,1,1,273,SL,12
1995,1,1,1,233,FL,12
1995,1,1,1,210,TL,11
1995,1,1,1,227,FL,8
1995,1,1,1,253,SL,11
1995,1,1,1,258,SL,16
1995,1,1,1,227,SL,3
1995,1,1,1,315,TL,1
1995,1,1,1,264,SL,5
1995,1,1,1,245,TL,19
1995,1,1,1,266,SL,1
1995,1,1,1,224,FL,8
1995,1,1,1,278,FL,20
1995,1,1,1,217,FL,2
1995,1,1,1,268,FL,20
1995,1,1,1,269,TL,5
1995,1,1,1,247,TL,13
1995,1,1,1,262,FL,7
1995,1,1,1,286,SL,8
1995,1,1,1,259,SL,15
1995,1,1,1,274,FL,17
1995,1,1,1,239,FL,11
1995,1,1,1,253,SL,19
1995,1,1,1,295,TL,10
1995,1,1,1,288,SL,17
1995,1,1,1,251,FL,5
1995,1,1,1,271,FL,17
1995,1,1,1,228,FL,19
1995,1,1,1,261,FL,5
1995,1,1,1,248,SL,17
1995,1,1,1,270,TL,8
1995,1,1,1,286,SL,10
1995,1,1,1,215,TL,18
1995,1,1,1,242,FL,8
1995,1,1,1,261,SL,4
1995,1,1,1,285,TL,3
1995,1,1,1,217,TL,3
1995,1,1,1,264,TL,3
1995,1,1,1,209,TL,2
1995,1,1,1,238,TL,18
1995,1,1,1,271,TL,6
1995,1,1,1,250,FL,8
1995,1,1,1,220,SL,8
1995,1,1,1,228,SL,10
1995,1,1,1,301,SL,14
1995,1,1,1,253,SL,3
1995,1,1,1,270,FL,15
1995,1,1,1,235,TL,16
1995,1,1,1,255,SL,20
1995,1,1,1,316,SL,13
1995,1,1,1,309,TL,8
1995,1,1,1,286,TL,18
1995,1,1,1,262,TL,19
1995,1,1,1,236,SL,11
1995,1,1,1,261,TL,14
1995,1,1,1,254,TL,9
1995,1,1,1,291,TL,5
1995,1,1,1,277,FL,20
1995,1,1,1,243,FL,14
1995,1,1,1,299,TL,5
1995,1,1,1,235,SL,6
1995,1,1,1,252,FL,11
1995,1,1,1,207,TL,9
1995,1,1,1,232,FL,14
1995,1,1,1,246,SL,6
1995,1,1,1,235,FL,3
1995,1,1,1,241,FL,16
1995,1,1,1,245,SL,19
1995,1,1,1,264,FL,6
1995,1,1,1,267,SL,9
1995,1,1,1,222,SL,19
1995,1,1,1,222,TL,1
1995,1,1,1,175,TL,3
1995,1,1,1,300,TL,14
1995,1,1,1,185,SL,11
1995,1,1,1,214,SL,18
1995,1,1,1,270,FL,15
1995,1,1,1,231,TL,11
1995,1,1,1,210,TL,11
1995,1,1,1,225,SL,12
1995,1,1,1,214,SL,5
1995,1,1,1,229,TL,6
1995,1,1,1,264,FL,12
1995,1,1,1,250,SL,14
1995,1,1,1,313,FL,13
1995,1,1,1,262,TL,17
1995,1,1,1,212,TL,3
1995,1,1,1,293,TL,20
1995,1,1,1,248,SL,6
1995,1,1,1,276,SL,3
1995,1,1,1,243,FL,1
1995,1,1,1,224,TL,7
1995,1,1,1,220,FL,8
1995,1,1,1,270,SL,19
1995,1,1,1,253,FL,13
1995,1,1,1,241,FL,8
1995,1,1,1,244,FL,16
1995,1,1,1,304,SL,4
1995,1,1,1,267,FL,19
1995,1,1,1,284,SL,4
1995,1,1,1,212,SL,17
1995,1,1,1,199,SL,11
1995,1,1,1,206,FL,12
1995,1,1,1,235,TL,13
1995,1,1,1,294,TL,10
1995,1,1,1,298,SL,9
1995,1,1,1,305,SL,13
1995,1,1,1,219,TL,14
1995,1,1,1,192,SL,2
1995,1,1,1,221,TL,19
1995,1,1,1,248,TL,16
1995,1,1,1,247,SL,13
1995,1,1,1,317,SL,17
1995,1,1,1,274,FL,1
1995,1,1,1,263,FL,12
1995,1,1,1,264,TL,9
1995,1,1,1,261,SL,17
1995,1,1,1,244,SL,4
1995,1,1,1,228,SL,7
1995,1,1,1,250,TL,1
1995,1,1,1,190,SL,12
1995,1,1,1,256,TL,15
1995,1,1,1,217,FL,15
1995,1,1,1,229,TL,17
1995,1,1,1,231,FL,13
1995,1,1,1,288,FL,1
1995,1,1,1,196,SL,18
1995,1,1,1,182,FL,12
1995,1,1,1,308,SL,8
1995,1,1,1,237,SL,14
1995,1,1,1,246,SL,18
1995,1,1,1,260,FL,5
1995,1,1,1,208,TL,7
1995,1,1,1,222,FL,2
1995,1,1,1,285,SL,10
1995,1,1,1,256,TL,12
1995,1,1,1,242,TL,9
1995,1,1,1,276,SL,17
1995,1,1,1,248,TL,12
1995,1,1,1,204,SL,13
1995,1,1,1,242,TL,1
1995,1,1,1,276,SL,16
1995,1,1,1,276,SL,9
1995,1,1,1,232,FL,7
1995,1,1,1,247,TL,3
1995,1,1,1,262,FL,4
1995,1,1,1,257,TL,13
1995,1,1,1,259,TL,19
1995,1,1,1,263,TL,13
1995,1,1,1,245,FL,16
1995,1,1,1,251,FL,5
1995,1,1,1,242,SL,17
1995,1,1,1,252,TL,7
1995,1,1,1,212,SL,4
1995,1,1,1,253,SL,15
1995,1,1,1,229,SL,7
1995,1,1,1,246,SL,20
1995,1,1,1,294,TL,2
1995,1,1,1,217,SL,14
1995,1,1,1,264,SL,4
1995,1,1,1,249,FL,2
1995,1,1,1,321,FL,9
1995,1,1,1,327,FL,10
1995,1,1,1,309,FL,5
1995,1,1,1,255,TL,7
1995,1,1,1,271,FL,18
1995,1,1,1,238,TL,6
1995,1,1,1,268,TL,10
1995,1,1,1,243,FL,12
1995,1,1,1,279,TL,11
1995,1,1,1,259,SL,8
1995,1,1,1,254,FL,16
1995,1,1,1,238,SL,2
1995,1,1,1,254,FL,2
1995,1,1,1,223,SL,5
1995,1,1,1,196,TL,4
1995,1,1,1,322,FL,8
1995,1,1,1,271,TL,7
1995,1,1,1,261,FL,5
1995,1,1,1,264,FL,19
1995,1,1,1,291,TL,1
1995,1,1,1,279,TL,11
1995,1,1,1,246,SL,13
1995,1,1,1,282,SL,15
1995,1,1,1,241,TL,17
1995,1,1,1,222,TL,15
1995,1,1,1,223,SL,4
1995,1,1,1,256,TL,5
1995,1,1,1,283,SL,17
1995,1,1,1,212,SL,13
1995,1,1,1,222,SL,2
1995,1,1,1,261,FL,2
1995,1,1,1,256,TL,4
1995,1,1,1,235,SL,7
1995,1,1,1,223,FL,13
1995,1,1,1,212,TL,9
1995,1,1,1,233,TL,11
1995,1,1,1,217,TL,7
1995,1,1,1,254,SL,20
1995,1,1,1,276,FL,11
1995,1,1,1,262,TL,19
1995,1,1,1,287,SL,15
